,disc_year,releasedate,pl_name,hostname,discoverymethod,disc_facility,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_insol,pl_eqt,pl_controv_flag,pl_bmasse,soltype,gravity_multiple_of_earths_gravity
12324,2014-01-01,2014-05-14,Kepler-146 c,Kepler-146,Transit,Kepler,1,2,76.732171,0.364,3.13,,,0,,Published Confirmed,
12329,2016-01-01,2016-05-10,Kepler-1460 b,Kepler-1460,Transit,Kepler,1,1,29.9633247,,1.96,,,0,,Published Confirmed,
12343,2016-01-01,2016-05-10,Kepler-1461 b,Kepler-1461,Transit,Kepler,1,1,29.3494775,,2.03,,,0,,Published Confirmed,
12351,2016-01-01,2016-05-10,Kepler-1462 b,Kepler-1462,Transit,Kepler,1,1,65.6488341,,3.82,,,0,,Published Confirmed,
12356,2016-01-01,2016-05-10,Kepler-1463 b,Kepler-1463,Transit,Kepler,1,1,25.15864,,1.86,,,0,,Published Confirmed,
12368,2016-01-01,2016-05-10,Kepler-1464 b,Kepler-1464,Transit,Kepler,1,2,31.7785901,,1.66,,,0,,Published Confirmed,
12370,2016-01-01,2016-05-10,Kepler-1464 c,Kepler-1464,Transit,Kepler,1,2,5.32786292,,1.0,,,0,,Published Confirmed,
12383,2016-01-01,2016-05-10,Kepler-1465 b,Kepler-1465,Transit,Kepler,1,1,31.8277111,,1.77,,,0,,Published Confirmed,
12389,2016-01-01,2016-05-10,Kepler-1466 b,Kepler-1466,Transit,Kepler,1,1,31.1750448,,1.55,,,0,,Published Confirmed,
12402,2016-01-01,2016-05-10,Kepler-1467 b,Kepler-1467,Transit,Kepler,1,1,47.0569043,,3.3,,,0,,Published Confirmed,
12410,2016-01-01,2016-05-10,Kepler-1468 b,Kepler-1468,Transit,Kepler,1,3,8.23984869,,1.73,,,0,,Published Confirmed,
12418,2016-01-01,2016-05-10,Kepler-1468 c,Kepler-1468,Transit,Kepler,1,3,3.54553021,,1.15,,,0,,Published Confirmed,
12425,2021-01-01,2021-12-05,Kepler-1468 d,Kepler-1468,Transit,Kepler,1,3,19.59059906,,3.332,,,0,,Published Confirmed,
12434,2016-01-01,2016-05-10,Kepler-1469 b,Kepler-1469,Transit,Kepler,1,1,21.8635301,,2.8,,,0,,Published Confirmed,
12446,2014-01-01,2014-05-14,Kepler-147 b,Kepler-147,Transit,Kepler,1,2,12.610584,0.113,1.53,,,0,,Published Confirmed,
12457,2014-01-01,2014-05-14,Kepler-147 c,Kepler-147,Transit,Kepler,1,2,33.416423,0.216,2.43,,,0,,Published Confirmed,
12465,2016-01-01,2016-05-10,Kepler-1470 b,Kepler-1470,Transit,Kepler,1,1,16.2950903,,1.07,,,0,,Published Confirmed,
12466,2016-01-01,2016-05-10,Kepler-1471 b,Kepler-1471,Transit,Kepler,1,2,3.63899398,,1.41,,,0,,Published Confirmed,
